Chamber Pressure,OF,Adiabatic flame temperature,cp mass,cv mass,cp molar,cv molar,Isentropic exponent,Molecular weight,Specific gas constant,Specifc impulse,Vacuum specific Impulse,Characteristic velocityThrust coefficient,Vacuum thrust coefficient
bar,-,K,J/kg-K,J/mol-K,J/kg-K,J/mol-K,-,g/mol,J/kg-K,sec,sec,m/s,-,-
5.0,6.797979797979798,3048.745454182513,1503.975226836797,1192.4095473068676,40135.18376295315,31820.72114479991,1.261290829340993,26.686067061999818,311.5656795299294,163.85821654638198,308.7985458088728,1476.316171464556,1.088452602737852,2.0512403222220525
5.0,6.9393939393939394,3044.66951973484,1500.5896526663485,1189.8628832751483,40152.95044172414,31838.4878235709,1.2611450224717586,26.758114965258944,310.72676939120026,163.53369972151324,308.24452803812665,1473.4018790553948,1.0884455756240305,2.0516101165983684
5.0,7.08080808080808,3040.455989595927,1497.2984007566367,1187.3750425821167,40168.74253892613,31854.279920772893,1.2610155570564692,26.827479758628925,309.9233581745201,163.21410814631514,307.6931750946959,1470.5308571763887,1.0884393386524311,2.0519387681100936
5.0,7.222222222222222,3036.124037898592,1494.097847540999,1184.9445002165742,40182.71452906698,31868.25191091374,1.2609011200675817,26.894299188771395,309.15334732442483,162.89948107421338,307.1451043715501,1467.7035527336145,1.0884338278674028,2.0522295065480063
5.0,7.363636363636363,3031.6901588404003,1490.9844767064767,1182.5696658037555,40195.00444721797,31880.541829064732,1.2608005429372326,26.95870082833262,308.4148109027213,162.58982047110618,306.60080456390074,1464.9200666234956,1.0884289861617218,2.0524852164847482
5.0,7.505050505050505,3027.1686060726934,1487.954890731028,1180.2489142946426,40205.73620232915,31891.27358417591,1.260712780761405,27.020803152558063,307.7059764363854,162.28509958382554,306.0606598703261,1462.1802319197946,1.0884247626191546,2.0527084859959803
5.0,7.646464646464646,3022.5717492540643,1485.00581767706,1177.9806091526034,40215.021490108295,31900.558871955054,1.2606368951568052,27.080716460097896,307.02520852445656,161.98526961041193,305.5249693553477,1459.4836753165591,1.0884211115827631,2.0529016469326082
5.0,7.787878787878787,3017.910365451674,1482.1341145112872,1175.7631198058737,40222.96138719951,31908.49876904627,1.2605720400177183,27.138543667124527,306.37099470541347,161.6902649675108,304.99396253488567,1456.82986561984,1.08841799194513,2.0530668084705717
5.0,7.929292929292929,3013.193878786542,1479.3367678863851,1173.5948346868668,40229.647688609424,31915.185070456184,1.2605174496026945,27.194380996889485,305.7419331995185,161.40000745560005,304.46781198566225,1454.2181521413638,1.0884153665554008,2.053205885246676
5.0,8.07070707070707,3008.4305586849578,1476.6108930840844,1171.4741708662534,40235.164036864204,31920.701418710963,1.2604724285062092,27.248318582309853,305.1367222178309,161.11440956060807,303.94664359529764,1451.6477951752438,1.088413201720738,2.0533206211042354
5.0,8.212121212121211,3003.627684799683,1473.9537316436906,1169.3995810537829,40239.586881023584,31925.124262870344,1.260436343166349,27.300440995627525,304.5541505899079,160.83337707531288,303.4305449306557,1449.1179902349932,1.0884114667845977,2.0534126092532166
5.0,8.353535353535353,2998.7916849227176,1471.3626480689795,1167.3695585599767,40242.98629575984,31928.523677606598,1.260408614632711,27.350827716453757,303.99308950900274,160.55681118242777,302.9195720968054,1446.6278873490783,1.0884101337680179,2.053483309482413
5.0,8.494949494949495,2993.9282508803553,1468.8351259084927,1165.3826406782518,40245.42668461072,31930.96406645748,1.2603887123748743,27.399553547385672,303.4524852302407,160.2846101098561,302.4137553788655,1444.1766064262417,1.0884091770628606,2.0535340629322243
5.0,8.636363636363637,2989.0424363768,1466.3687634304417,1163.4374108442653,40246.967386783326,31932.504768630086,1.2603761489553185,27.44668898471968,302.93135258617633,160.01667044461172,301.9131038975365,1441.7632494826182,1.0884085731681497,2.053566104836736
5.0,8.777777777777779,2984.138739958347,1463.9612690577906,1161.53249985057,40247.66320318235,31933.200585029106,1.260370475424603,27.492300550468695,302.42876920722057,159.75288817351353,301.4176094616687,1439.3869103544562,1.0884083004624472,2.053580575565585
5.0,8.919191919191919,2979.2211756501956,1461.6104566869183,1159.66658633396,40247.56485441999,31933.102236266746,1.2603712773233295,27.536451090840238,301.94387035295824,159.493159504517,300.92724976431754,1437.046682390172,1.0884083390064183,2.0535785302345486
5.0,9.06060606060606,2974.293333330838,1459.3142409811915,1157.8383967058599,40246.71938125693,31932.25676310369,1.2603781711964759,27.579200045492914,301.4758442753316,159.23738151149524,300.44199103986466,1434.7416645142837,1.0884086703708868,2.053560947105092
5.0,9.202020202020202,2969.358430523881,1457.0706327064543,1156.0467046595604,40245.17049607915,31930.707877925906,1.2603908015425218,27.620603691205584,301.02392804689384,158.98545263664118,299.9617902770762,1432.4709659767068,1.0884092774865148,2.0535287349541456
5.0,9.343434343434343,2964.419356980948,1454.8777341568357,1154.2903303594837,40242.95889253447,31928.496274381232,1.2604088381332443,27.660715363038392,300.58740379735207,158.73727307786015,299.48659706499615,1430.2337100387183,1.0884101445118757,2.0534827395642474
5.0,9.484848484848484,2959.478713184556,1452.73373470515,1152.5681393952718,40240.12251926003,31925.659901106792,1.260431973650919,27.699585655610356,300.16559530987803,158.49274508317376,299.0163551342811,1428.0290367978284,1.08841125671729,2.053423749458913
5.0,9.626262626262626,2954.5388437026654,1450.6369065013935,1150.879041565867,40236.69682266219,31922.23420450895,1.2604599215984338,27.737262606742828,299.7578649355263,158.25177316988407,298.55100364514755,1425.8561053147582,1.0884126003821804,2.053352500987732
5.0,9.767676767676768,2949.6018661679477,1448.5856003346807,1149.2219895448304,40232.714962917344,31918.252344764103,1.260492414445027,27.773791865404426,299.36361078985027,158.01426428287678,298.0904782639366,1423.7140951747594,1.0884141627041086,2.0532696828489327
5.0,9.909090909090908,2944.669696525109,1446.5782416677134,1147.5959774671064,40228.208006713,31913.74538855976,1.260529201976204,27.80921684563373,298.9822642006072,157.78012790371105,297.63471206287977,1421.6022075905923,1.0884159317178927,2.0531759401234875
5.0,10.05050505050505,2939.74407108458,1444.6133268482818,1146.0000394687822,40223.20509971596,31908.74248156272,1.260570049821219,27.843578867897527,298.61328737949935,157.54927611998298,297.18363627166065,1419.5196661344976,1.0884178962235254,2.053071877883619
5.0,10.191919191919192,2934.826565834254,1442.6894194987663,1144.433248204388,40217.73362130524,31903.271003152,1.260614738135528,27.87691728915437,298.25617129437825,157.32162366268912,296.7371809044815,1417.4657171705085,1.0884200457217303,2.0529580644290717
5.0,10.333333333333332,2929.9186133898666,1440.8051470820135,1142.8947133607937,40211.81932374495,31897.356705591712,1.260663060418912,27.909269622741025,297.9104337212197,157.09708791789308,296.2952752823442,1415.439630045242,1.0884223703562432,2.0528350341969204
5.0,10.474747474747474,2925.0215179059205,1438.9591976401425,1141.3835801823977,40205.48645765857,31891.023839505327,1.260714822452756,27.940671649060356,297.57561745774484,156.87558891785434,295.8578484670083,1413.44069708497,1.088424860861915,2.0527032903840103
5.0,10.616161616161616,2920.13646822015,1437.1503167014373,1139.8990280187618,40198.757885410676,31884.295267257436,1.2607698413422834,27.971157517938202,297.2512886826756,156.65704931584315,295.4248296203755,1411.468233437934,1.0884275085180426,2.0525633073158707
5.0,10.757575757575758,2915.2645494640237,1435.3773043495603,1138.4402689030605,40191.65518378138,31877.192565628142,1.2608279446515118,28.000759843415658,296.9370354464997,156.4413943480964,294.9961483008435,1409.52157679405,1.088430305106228,2.0524155325911426
5.0,10.898989898989898,2910.4067533377224,1433.6390124487598,1137.006546167553,40184.19873713782,31869.73611898458,1.2608889696203156,28.029509791659677,296.63246628120663,156.22855178575082,294.571734706331,1407.6000870082864,1.0884332428722805,2.0522603890268405
5.0,11.04040404040404,2905.563987219594,1431.9343420183172,1135.5971331004432,40176.40782214658,31861.945203993342,1.2609527624544143,28.057437162599072,296.3372089178739,156.01845187907705,294.1515198721439,1405.703145649312,1.0884363144917173,2.052098276426427
5.0,11.181818181818182,2900.7370822561224,1430.262240749345,1134.2113316471596,40168.30068494031,31853.83806678707,1.26101917768027,28.084570465829593,296.0509091021855,155.81102729591814,293.73543583058904,1403.8301554912032,1.0884395130384348,2.0519295731898075
5.0,11.323232323232324,2895.926800558186,1428.6217006569707,1132.848471157936,40159.89461153602,31845.431993382783,1.2610880775579028,28.11093699127485,295.7732294990347,155.60621305589225,293.3234157381709,1401.9805399627528,1.0884428319562176,2.051754637782031
5.0,11.464646464646464,2891.133841612191,1427.0117558610311,1131.5079071827447,40151.20599220671,31836.743374053473,1.2611593315454939,28.136562875041108,295.5038486782865,155.40394646163506,292.91539397532455,1400.153742566291,1.0884462650328126,2.0515738100754426
5.0,11.606060606060606,2886.35884800017,1425.431480488514,1130.1890203139062,40142.25038042101,31827.787762267766,1.2612328158104076,28.16147316085915,295.2424601746077,155.20416702811974,292.51130622288196,1398.349226275843,1.0884498063762431,2.0513874125781255
5.0,11.747474747474747,2881.602410510511,1423.8799866911922,1128.8912150762142,40133.042546895806,31818.579928742565,1.261308412781884,28.18569185746956,294.98877161497825,155.00681641090432,292.1110895188561,1396.5664729225682,1.0884534503931742,2.051195751560132
